iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
COL,Colombia,2024-10-05,0.0,0.5,4.1,2024-10-11
COL,Colombia,2024-10-12,0.0,0.7,5.3,2024-10-18
COL,Colombia,2024-10-19,0.0,0.5,4.4,2024-10-25
COL,Colombia,2024-10-26,0.0,0.8,6.0,2024-11-01
COL,Colombia,2024-11-02,0.0,0.4,2.7,2024-11-08
COL,Colombia,2024-11-09,0.0,2.4,10.0,2024-11-15
COL,Colombia,2024-11-16,0.0,0.3,5.7,2024-11-22
COL,Colombia,2024-11-23,0.0,0.9,6.8,2024-11-29
COL,Colombia,2024-11-30,0.0,1.3,6.5,2024-12-06
COL,Colombia,2024-12-07,0.0,1.4,5.5,2024-12-13
COL,Colombia,2024-12-14,0.0,0.9,5.7,2024-12-20
COL,Colombia,2024-12-21,0.0,1.1,7.7,2024-12-27
