iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
HRV,Croatia,2024-10-05,3.3,3.9,15.1,2024-10-11
HRV,Croatia,2024-10-12,3.9,4.9,16.4,2024-10-18
HRV,Croatia,2024-10-19,3.4,3.9,13.0,2024-10-25
HRV,Croatia,2024-10-26,3.6,4.2,16.1,2024-11-01
HRV,Croatia,2024-11-02,3.0,4.4,14.0,2024-11-08
HRV,Croatia,2024-11-09,2.8,3.3,15.0,2024-11-15
HRV,Croatia,2024-11-16,4.5,5.1,15.0,2024-11-22
HRV,Croatia,2024-11-23,3.6,4.4,15.3,2024-11-29
HRV,Croatia,2024-11-30,3.4,4.4,13.2,2024-12-06
HRV,Croatia,2024-12-07,3.9,4.5,14.3,2024-12-13
HRV,Croatia,2024-12-14,2.8,3.5,12.7,2024-12-20
HRV,Croatia,2024-12-21,4.7,5.7,17.2,2024-12-27
