iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
COD,Democratic Republic of Congo,2024-10-05,0.0,0.0,3.0,2024-10-11
COD,Democratic Republic of Congo,2024-10-12,0.0,0.0,2.0,2024-10-18
COD,Democratic Republic of Congo,2024-10-19,0.0,0.1,2.2,2024-10-25
COD,Democratic Republic of Congo,2024-10-26,0.0,0.0,0.7,2024-11-01
COD,Democratic Republic of Congo,2024-11-02,0.0,0.0,1.7,2024-11-08
COD,Democratic Republic of Congo,2024-11-09,0.0,0.0,1.8,2024-11-15
COD,Democratic Republic of Congo,2024-11-16,0.0,0.0,2.1,2024-11-22
COD,Democratic Republic of Congo,2024-11-23,0.0,0.1,3.0,2024-11-29
COD,Democratic Republic of Congo,2024-11-30,0.0,0.0,0.7,2024-12-06
COD,Democratic Republic of Congo,2024-12-07,0.0,0.0,2.0,2024-12-13
COD,Democratic Republic of Congo,2024-12-14,0.0,0.0,1.2,2024-12-20
COD,Democratic Republic of Congo,2024-12-21,0.0,0.1,3.6,2024-12-27
