iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
XKX,Kosovo,2024-10-05,2.0,4.6,16.8,2024-10-11
XKX,Kosovo,2024-10-12,2.3,4.3,18.9,2024-10-18
XKX,Kosovo,2024-10-19,2.6,4.8,17.0,2024-10-25
XKX,Kosovo,2024-10-26,2.7,4.0,17.8,2024-11-01
XKX,Kosovo,2024-11-02,2.5,5.3,19.4,2024-11-08
XKX,Kosovo,2024-11-09,1.6,4.0,15.3,2024-11-15
XKX,Kosovo,2024-11-16,3.5,5.5,21.2,2024-11-22
XKX,Kosovo,2024-11-23,2.2,4.4,18.0,2024-11-29
XKX,Kosovo,2024-11-30,2.6,4.0,15.3,2024-12-06
XKX,Kosovo,2024-12-07,1.8,4.8,17.9,2024-12-13
XKX,Kosovo,2024-12-14,2.6,4.7,17.5,2024-12-20
XKX,Kosovo,2024-12-21,2.4,5.1,17.0,2024-12-27
