iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
LVA,Latvia,2024-10-05,3.1,3.5,4.4,2024-10-11
LVA,Latvia,2024-10-12,2.5,2.9,3.6,2024-10-18
LVA,Latvia,2024-10-19,2.7,3.2,3.8,2024-10-25
LVA,Latvia,2024-10-26,3.1,3.5,4.0,2024-11-01
LVA,Latvia,2024-11-02,2.2,2.7,3.3,2024-11-08
LVA,Latvia,2024-11-09,1.8,2.4,3.2,2024-11-15
LVA,Latvia,2024-11-16,1.8,2.2,2.6,2024-11-22
LVA,Latvia,2024-11-23,2.3,2.5,2.8,2024-11-29
LVA,Latvia,2024-11-30,3.2,3.5,3.9,2024-12-06
LVA,Latvia,2024-12-07,3.1,3.6,4.1,2024-12-13
LVA,Latvia,2024-12-14,2.4,2.9,3.2,2024-12-20
LVA,Latvia,2024-12-21,2.9,3.5,4.6,2024-12-27
