iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
LTU,Lithuania,2024-10-05,1.0,2.6,4.7,2024-10-11
LTU,Lithuania,2024-10-12,0.9,1.5,2.8,2024-10-18
LTU,Lithuania,2024-10-19,0.6,2.0,4.1,2024-10-25
LTU,Lithuania,2024-10-26,0.7,1.8,4.2,2024-11-01
LTU,Lithuania,2024-11-02,1.6,2.7,4.1,2024-11-08
LTU,Lithuania,2024-11-09,0.9,2.4,4.7,2024-11-15
LTU,Lithuania,2024-11-16,0.8,2.6,3.9,2024-11-22
LTU,Lithuania,2024-11-23,0.8,3.0,4.8,2024-11-29
LTU,Lithuania,2024-11-30,0.6,3.1,4.7,2024-12-06
LTU,Lithuania,2024-12-07,0.4,1.8,4.1,2024-12-13
LTU,Lithuania,2024-12-14,1.8,4.0,5.8,2024-12-20
LTU,Lithuania,2024-12-21,0.3,1.8,3.8,2024-12-27
