iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
MRT,Mauritania,2024-10-05,0.2,4.6,15.0,2024-10-11
MRT,Mauritania,2024-10-12,0.0,5.2,15.5,2024-10-18
MRT,Mauritania,2024-10-19,0.0,3.9,15.2,2024-10-25
MRT,Mauritania,2024-10-26,0.1,3.8,14.5,2024-11-01
MRT,Mauritania,2024-11-02,0.1,2.5,11.2,2024-11-08
MRT,Mauritania,2024-11-09,0.2,3.7,15.3,2024-11-15
MRT,Mauritania,2024-11-16,0.0,3.2,13.1,2024-11-22
MRT,Mauritania,2024-11-23,0.2,3.0,11.9,2024-11-29
MRT,Mauritania,2024-11-30,0.1,3.9,14.8,2024-12-06
MRT,Mauritania,2024-12-07,0.2,3.1,10.1,2024-12-13
MRT,Mauritania,2024-12-14,0.1,3.1,12.3,2024-12-20
MRT,Mauritania,2024-12-21,0.1,3.8,12.9,2024-12-27
