iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
NAM,Namibia,2024-10-05,0.0,0.4,2.2,2024-10-11
NAM,Namibia,2024-10-12,0.0,0.9,2.9,2024-10-18
NAM,Namibia,2024-10-19,0.0,0.1,2.0,2024-10-25
NAM,Namibia,2024-10-26,0.0,0.7,2.7,2024-11-01
NAM,Namibia,2024-11-02,0.0,0.4,2.9,2024-11-08
NAM,Namibia,2024-11-09,0.0,0.5,2.2,2024-11-15
NAM,Namibia,2024-11-16,0.0,0.8,3.5,2024-11-22
NAM,Namibia,2024-11-23,0.0,0.6,2.8,2024-11-29
NAM,Namibia,2024-11-30,0.0,0.5,3.3,2024-12-06
NAM,Namibia,2024-12-07,0.0,0.4,2.2,2024-12-13
NAM,Namibia,2024-12-14,0.0,0.3,2.1,2024-12-20
NAM,Namibia,2024-12-21,0.0,0.2,2.5,2024-12-27
