iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
RWA,Rwanda,2024-10-05,0.1,0.9,2.2,2024-10-11
RWA,Rwanda,2024-10-12,0.0,0.6,2.0,2024-10-18
RWA,Rwanda,2024-10-19,0.1,0.8,2.0,2024-10-25
RWA,Rwanda,2024-10-26,0.1,0.9,2.4,2024-11-01
RWA,Rwanda,2024-11-02,0.1,0.5,1.2,2024-11-08
RWA,Rwanda,2024-11-09,0.1,0.7,1.9,2024-11-15
RWA,Rwanda,2024-11-16,0.1,0.5,1.6,2024-11-22
RWA,Rwanda,2024-11-23,0.0,0.9,1.6,2024-11-29
RWA,Rwanda,2024-11-30,0.0,0.6,1.8,2024-12-06
RWA,Rwanda,2024-12-07,0.0,1.0,2.2,2024-12-13
RWA,Rwanda,2024-12-14,0.1,0.9,2.0,2024-12-20
RWA,Rwanda,2024-12-21,0.2,0.6,2.2,2024-12-27
