iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
UKR,Ukraine,2024-10-05,0.5,5.2,19.4,2024-10-11
UKR,Ukraine,2024-10-12,0.2,1.9,12.5,2024-10-18
UKR,Ukraine,2024-10-19,0.1,5.4,17.4,2024-10-25
UKR,Ukraine,2024-10-26,0.3,3.6,16.6,2024-11-01
UKR,Ukraine,2024-11-02,0.6,3.9,16.8,2024-11-08
UKR,Ukraine,2024-11-09,0.5,5.5,16.6,2024-11-15
UKR,Ukraine,2024-11-16,1.3,9.0,27.3,2024-11-22
UKR,Ukraine,2024-11-23,0.6,5.1,17.5,2024-11-29
UKR,Ukraine,2024-11-30,0.3,6.8,19.5,2024-12-06
UKR,Ukraine,2024-12-07,0.4,3.9,15.8,2024-12-13
UKR,Ukraine,2024-12-14,0.7,6.1,20.1,2024-12-20
UKR,Ukraine,2024-12-21,0.3,4.0,18.4,2024-12-27
