iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
URY,Uruguay,2024-10-05,0.7,0.8,6.4,2024-10-11
URY,Uruguay,2024-10-12,0.7,1.3,7.0,2024-10-18
URY,Uruguay,2024-10-19,0.6,0.7,5.1,2024-10-25
URY,Uruguay,2024-10-26,1.2,1.6,6.3,2024-11-01
URY,Uruguay,2024-11-02,0.7,1.2,7.6,2024-11-08
URY,Uruguay,2024-11-09,0.9,1.8,7.7,2024-11-15
URY,Uruguay,2024-11-16,1.0,1.4,7.3,2024-11-22
URY,Uruguay,2024-11-23,0.5,0.9,6.2,2024-11-29
URY,Uruguay,2024-11-30,0.9,1.1,7.2,2024-12-06
URY,Uruguay,2024-12-07,0.4,0.7,6.0,2024-12-13
URY,Uruguay,2024-12-14,0.8,1.6,7.2,2024-12-20
URY,Uruguay,2024-12-21,0.2,0.4,5.1,2024-12-27
