iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
UZB,Uzbekistan,2024-10-05,0.1,2.2,4.7,2024-10-11
UZB,Uzbekistan,2024-10-12,0.0,1.1,4.4,2024-10-18
UZB,Uzbekistan,2024-10-19,0.2,1.9,5.0,2024-10-25
UZB,Uzbekistan,2024-10-26,0.0,2.1,5.0,2024-11-01
UZB,Uzbekistan,2024-11-02,0.0,1.0,3.2,2024-11-08
UZB,Uzbekistan,2024-11-09,0.0,1.3,5.1,2024-11-15
UZB,Uzbekistan,2024-11-16,0.0,1.8,4.3,2024-11-22
UZB,Uzbekistan,2024-11-23,0.0,1.7,5.9,2024-11-29
UZB,Uzbekistan,2024-11-30,0.0,1.6,4.6,2024-12-06
UZB,Uzbekistan,2024-12-07,0.0,1.6,4.0,2024-12-13
UZB,Uzbekistan,2024-12-14,0.0,1.7,4.1,2024-12-20
UZB,Uzbekistan,2024-12-21,0.0,1.9,4.5,2024-12-27
