iso3,country,start of the week,probability of extreme crisis (%),probability of severe crisis (%),probability of mild crisis (%),end of the week
ZMB,Zambia,2024-10-05,0.0,0.4,3.2,2024-10-11
ZMB,Zambia,2024-10-12,0.0,0.9,2.9,2024-10-18
ZMB,Zambia,2024-10-19,0.0,0.3,2.4,2024-10-25
ZMB,Zambia,2024-10-26,0.0,1.6,4.0,2024-11-01
ZMB,Zambia,2024-11-02,0.0,0.3,2.7,2024-11-08
ZMB,Zambia,2024-11-09,0.0,0.7,3.4,2024-11-15
ZMB,Zambia,2024-11-16,0.0,0.8,2.7,2024-11-22
ZMB,Zambia,2024-11-23,0.0,1.4,4.2,2024-11-29
ZMB,Zambia,2024-11-30,0.0,1.2,3.6,2024-12-06
ZMB,Zambia,2024-12-07,0.0,0.7,4.5,2024-12-13
ZMB,Zambia,2024-12-14,0.0,0.7,2.7,2024-12-20
ZMB,Zambia,2024-12-21,0.0,1.1,2.7,2024-12-27
